battle,battleLabel,year,location,locationLabel,locationCoordinates,country,countryLabel
http://www.wikidata.org/entity/Q2890676,Q2890676,1795,http://www.wikidata.org/entity/Q378409,Saligny,Point(-1.423888888 46.808611111),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2890674,Q2890674,1795,http://www.wikidata.org/entity/Q1420370,Les Landes-Genusson,Point(-1.117222222 46.966388888),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2890584,Q2890584,1795,http://www.wikidata.org/entity/Q225680,Le Châtellier,Point(-1.234021666 48.419161944),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889857,Q2889857,1795,http://www.wikidata.org/entity/Q818292,Saint-Denis-la-Chevasse,Point(-1.356944444 46.823055555),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2888182,Q2888182,1795,http://www.wikidata.org/entity/Q549021,Vergoncey,Point(-1.3658 48.5658),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2890839,Q2890839,1795,http://www.wikidata.org/entity/Q1420272,L'Oie,Point(-1.138888888 46.809722222),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q16531761,Q16531761,1795,http://www.wikidata.org/entity/Q478259,Saint-James,Point(-1.3247 48.5228),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2890838,Q2890838,1795,http://www.wikidata.org/entity/Q1420710,Saint-Martin-des-Noyers,Point(-1.176944444 46.7225),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2890811,Q2890811,1795,http://www.wikidata.org/entity/Q231829,Landéan,Point(-1.141956944 48.441891111),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889029,Q2889029,1795,http://www.wikidata.org/entity/Q1003255,La Croix-Avranchin,Point(-1.382222222 48.546666666),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889055,Q2889055,1796,http://www.wikidata.org/entity/Q947756,La Pellerine,Point(-1.049722222 48.315555555),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889188,Q2889188,1796,http://www.wikidata.org/entity/Q196414,Le Ferré,Point(-1.2928 48.4933),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889426,Q2889426,1796,http://www.wikidata.org/entity/Q70050,Muzillac,Point(-2.480555555 47.553888888),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889798,Q2889798,1796,http://www.wikidata.org/entity/Q216540,Romagné,Point(-1.2761 48.3431),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2888991,Q2888991,1796,http://www.wikidata.org/entity/Q379083,La Bruffière,Point(-1.196388888 47.013888888),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3025290,Q3025290,1796,http://www.wikidata.org/entity/Q1070537,Saint-M'Hervé,Point(-1.11611 48.1786),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2887910,Q2887910,1796,http://www.wikidata.org/entity/Q778091,Grand-Auverné,Point(-1.2892 47.6108),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2890504,Q2890504,1796,http://www.wikidata.org/entity/Q818292,Saint-Denis-la-Chevasse,Point(-1.390277777 46.863888888),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889623,Q2889623,1796,http://www.wikidata.org/entity/Q128150,Plaudren,Point(-2.6914 47.7797),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q732677,Bataille de La Guyonnière,1796,http://www.wikidata.org/entity/Q1412213,Saint-Sulpice-le-Verdon,Point(-1.45 46.866666666),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2890189,Q2890189,1796,http://www.wikidata.org/entity/Q1115228,Tinchebray,Point(-0.7342 48.7628),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2888858,Q2888858,1796,http://www.wikidata.org/entity/Q1171469,Juvigné,Point(-1.0342 48.2297),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889143,Q2889143,1796,http://www.wikidata.org/entity/Q127163,Locminé,Point(-2.8344 47.8875),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2890460,Q2890460,1796,http://www.wikidata.org/entity/Q1101726,Le Ribay,Point(-0.407777777 48.384166666),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889612,Q2889612,1796,http://www.wikidata.org/entity/Q731782,Amanlis,Point(-1.4292 48.0103),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q4872694,Battle of Voltri,1796,http://www.wikidata.org/entity/Q1449,Genoa,Point(8.7528 44.4278),http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q974166,Battle of Montenotte,1796,http://www.wikidata.org/entity/Q270564,Cairo Montenotte,Point(8.26667 44.4),http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q974166,Battle of Montenotte,1796,http://www.wikidata.org/entity/Q270564,Cairo Montenotte,Point(8.276388888 44.398888888),http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q428035,Battle of Millesimo,1796,http://www.wikidata.org/entity/Q270858,Millesimo,Point(8.2 44.3667),http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q949590,Second Battle of Dego,1796,http://www.wikidata.org/entity/Q270723,Dego,Point(8.31667 44.45),http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q4870699,Battle of Ceva,1796,http://www.wikidata.org/entity/Q19944,Ceva,,http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q2889870,Q2889870,1796,http://www.wikidata.org/entity/Q656415,Saint-Hilaire-des-Landes,Point(-1.3567 48.3522),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q1093286,Battle of Mondovì,1796,http://www.wikidata.org/entity/Q20188,Mondovì,Point(7.81667 44.3833),http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q28494912,Q28494912,1796,http://www.wikidata.org/entity/Q1062368,Le Petit-Celland,,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q900945,Battle of Lodi,1796,http://www.wikidata.org/entity/Q6244,Lodi,Point(9.5 45.333333333),http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q2890826,Q2890826,1796,http://www.wikidata.org/entity/Q1441601,Saint-Cornier-des-Landes,Point(-0.719444444 48.718611111),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2890279,Q2890279,1796,http://www.wikidata.org/entity/Q196414,Le Ferré,Point(-1.2928 48.4933),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2888175,Battle of Borghetto,1796,http://www.wikidata.org/entity/Q48033,Valeggio sul Mincio,Point(10.7333 45.35),http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q2890337,Q2890337,1796,http://www.wikidata.org/entity/Q220684,Vire,Point(-0.8892 48.8386),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889982,Battle of Siegburg,1796,http://www.wikidata.org/entity/Q14870,Siegburg,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q2890770,Q2890770,1796,http://www.wikidata.org/entity/Q1071489,Le Grand-Celland,Point(-1.184722222 48.681666666),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2984875,Battle of Saint-Aubin-du-Cormier,1796,http://www.wikidata.org/entity/Q196444,Saint-Aubin-du-Cormier,Point(-1.3975 48.2603),http://www.wikidata.org/entity/Q142,France
